id,category,expected_intent,config,rep,predicted_intent,latency_ms,sources_count,top_source_ids,top_source_scores,answer_length,answer,error
F1,factual,service,RAG,3,service,9908,4,SECVDR|SECDEVTWIN|SECAISOAR|SECOPSTWIN,0.835|0.684|0.663|0.647,77,The provider of **SECVDR** (Vulnerability Discovery and Repair) is **CERTH**.,
F1,factual,service,COLD,3,rag-off,33676,0,,,223,"The repository context indicates that no relevant services were retrieved from the catalog, so the **Vulnerability Discovery and Repair service (secVDR)** is not present in the available data. I cannot provide its provider.",
F2,factual,service,RAG,3,service,5473,4,MMT-PROBE|HTTP-SIM|ORO-3GPP16|AI4SOAR,0.735|0.667|0.592|0.579,93,The current Technology Readiness Level (TRL) of **MMT-PROBE** is **7** (expected to reach 8).,
F2,factual,service,COLD,3,rag-off,29538,0,,,251,"The repository context does not contain any information about the MMT Traffic Analysis Probe (MMT-PROBE) or its Technology Readiness Level (TRL). This service was not retrieved from the catalog, so its TRL cannot be determined from the available data.",
F3,factual,service,RAG,3,service,2564,4,MAG|HTTP-SIM|MMT-PROBE|SECANOD,0.804|0.639|0.636|0.617,89,The Montimage Attack Generator (MAG) belongs to the **Attack** category. (shortName: MAG),
F3,factual,service,COLD,3,rag-off,2983,0,,,170,"The repository context provided does not contain any information about the Montimage Attack Generator (MAG), so its category cannot be determined from the available data.",
F4,factual,service,RAG,3,service,5023,4,AALTO-LUMI|AALTO-EDGE5G|ITPAERO-CLUSTER|SECSIM,0.796|0.659|0.582|0.567,79,The LUMI Supercomputer (AALTO-LUMI) is a **hardware** service (type: Hardware).,
F4,factual,service,COLD,3,rag-off,7627,0,,,262,"The repository context does not contain any information about a service named ""LUMI Supercomputer (AALTO-LUMI)."" No relevant services were retrieved from the catalog, so I cannot determine whether it is a software or hardware service based on the available data.",
F5,factual,service,RAG,3,service,28799,4,CSAM|SECSAC|SECINTERP|SECSIM,0.847|0.666|0.647|0.643,281,"The **CSAM** (Compliance and Security Assurance Model) supports the following standards and regulations:

- ISO/IEC 15408  
- EUCC  
- EN 17927  
- EN 17640  
- Cyber Security Act  
- Cyber Resilience Act  
- AI Act  

These are explicitly listed in the service’s repository entry.",
F5,factual,service,COLD,3,rag-off,18207,0,,,510,"I don't have any information about a ""Compliance and Security Assurance Model (CSAM)"" service in the current repository catalog. The search didn't return any matching services.

If you have a specific service **shortName** or know the provider name, I can look it up directly. Otherwise, you might want to:
- Check the exact service name in the platform
- Browse the catalog for compliance-related services
- Let me know if you're referring to a different framework or standard

What would you like to do next?",
F6,factual,service,RAG,3,service,3446,4,AI4SOAR|SECASSURE4AI|AALTO-LUMI|SECAISOAR,0.645|0.579|0.548|0.522,88,"AI4SOAR takes **Security Alerts** — specifically, detection alerts emitted by MMT-Probe.",
F6,factual,service,COLD,3,rag-off,11240,0,,,344,"I don't have information about AI4SOAR in the current repository catalog — no relevant services were retrieved for that name.

If you'd like, I can help you explore other cybersecurity services available in the repository. Just let me know what you're looking for (e.g., SOAR platforms, threat intelligence, incident response automation, etc.).",
F7,factual,service,RAG,3,service,39254,4,SECSAC|SECSIM|SECOPSTWIN|SECINTERP,0.798|0.706|0.665|0.657,133,"The Security Assurance Case Tool (secSAC) produces a **Security Assurance Case** — a structured, OSCAL-based assurance case document.",
F7,factual,service,COLD,3,rag-off,11588,0,,,318,"I don't have any information about a ""Security Assurance Case Tool (secSAC)"" in the current repository catalog — no matching service was retrieved.

If you have additional details (e.g., provider, alternative name, or domain), I can check again. Otherwise, this service doesn't appear in the available repository data.",
F8,factual,service,RAG,3,service,11592,4,ORO-5GLAB|ORO-3GPP16|AALTO-EDGE5G|PPC-EMOB,0.874|0.784|0.680|0.593,92,The license for **ORO-5GLAB** (Orange 5G Lab) is listed as **N/A (Partner Infrastructure)**.,
F8,factual,service,COLD,3,rag-off,25328,0,,,333,"I couldn't find ""Orange 5G Lab (ORO-5GLAB)"" in the current service catalog. The repository context returned no relevant services for that name.

If you have additional details (e.g., provider, category, or alternative names), I can try a more targeted lookup. Otherwise, the license information isn't available in the retrieved data.",
F9,factual,service,RAG,3,service,6423,4,SECOPSTWIN|SECDEVTWIN|SECANOD|SECAISOAR,0.696|0.656|0.566|0.562,72,**SECOPSTWIN** – *Assurance-driven Security Operation Twin (SecOpsTwin)*,
F9,factual,service,COLD,3,rag-off,4297,0,,,114,"The repository catalog does not contain a service with the identifier **SECOPSTWIN**, so its title is unavailable.",
F10,factual,service,RAG,3,service,32492,4,MAG|HTTP-SIM|MMT-PROBE|AI4SOAR,0.605|0.533|0.532|0.490,114,MAG provides a **terminal (CLI)** interface — it’s driven from a shell via `kubectl exec` using the `mag` command.,
F10,factual,service,COLD,3,rag-off,55627,0,,,370,"I don't have any information about a service called ""MAG"" in the current repository context. The catalog search returned no relevant services.

Could you clarify:
- Is ""MAG"" the **shortName** of a service in the platform?
- Or are you referring to a specific capability or provider name?

If you can provide the exact shortName or more details, I can look it up for you.",
C1,comparative,service,RAG,3,service,37197,4,MMT-PROBE|MAG|AI4SOAR|SECANOD,0.571|0.556|0.541|0.502,655,"All four services in the repository are provided by **Montimage (MTI)**:

| Short Name | Service Title | Category |
|------------|---------------|----------|
| **MMT-PROBE** | MMT Traffic Analysis Probe | Monitor |
| **MAG** | Montimage Attack Generator | Attack |
| **AI4SOAR** | AI-driven Security Orchestration and Response | Reaction |
| **SECANOD** | AI-based Attack/Anomaly Detection (secAnoD) | Ops Services |

These form Montimage’s attack→detect→respond scenario: MAG generates attacks, MMT-PROBE monitors traffic and emits alerts, AI4SOAR orchestrates Kubernetes‑scoped responses, and SECANOD provides AI‑driven anomaly detection and prediction.",
C1,comparative,service,COLD,3,rag-off,5732,0,,,185,"No services from **Montimage** were found in the current repository catalog. 

If you have a specific service name, capability, or keyword in mind, I can search again with more details.",
C2,comparative,service,RAG,3,service,63301,4,ORO-5GLAB|AALTO-EDGE5G|ORO-3GPP16|PPC-EMOB,0.687|0.668|0.649|0.572,811,"**Services in the 5G Testbeds category:**

1. **ORO-5GLAB** – Orange 5G Lab  
   *Provider:* ORO (Orange Romania) | *Sector:* Digital infrastructure  
   *Description:* 5G Full-Stack Development, Testing, And Validation Laboratory with state-of-the-art equipment and access to current and future 3GPP technologies.

2. **AALTO-EDGE5G** – Edge Devices & 5G Testbed  
   *Provider:* AALTO | *Sector:* Research  
   *Description:* Testbed for IIoT and edge computing workloads over 5G.

3. **ORO-3GPP16** – 3GPP Rel 16 Commercial Facility  
   *Provider:* ORO (Orange Romania) | *Sector:* Digital infrastructure  
   *Description:* 5G infrastructure deployed in 45 cities, offering dedicated/customised network slices with MEC capabilities.

*(PPC-EMOB belongs to the E-Mobility & IIoT category, not 5G Testbeds.)*",
C2,comparative,service,COLD,3,rag-off,3590,0,,,166,"Based on the current repository context, no services were retrieved for the **5G Testbeds** category. The catalog does not contain any matching services at this time.",
C3,comparative,service,RAG,3,service,47597,4,TELLU-CARE|SECSAC|SECINTERP|SECASSURE4AI,0.550|0.548|0.545|0.538,951,"Based on the repository context, **Tecnalia (TEC)** provides three services:

| Short Name | Title | Category | Description |
|------------|-------|----------|-------------|
| **SECSAC** | Security Assurance Case Tool (secSAC) | Dev Services | LLM-based assistant for identifying and structuring Security Assurance Cases (SACs) using OSCAL. |
| **SECINTERP** | Assurance-driven Standard Interpretation Service (secInterp) | Dev Services | Two-level LLM assistant for automated extraction and interpretation of cybersecurity requirements (standards: IEC 62443-4-2, IEEE 1686, IEC 62351). |
| **SECASSURE4AI** | Security Assurance Service for AI Components (secAssure4AI) | Dev Services | Holistic security and trustworthiness assessment for AI/ML components (explainability, fairness, robustness, AML/LLM testing). |

All three are web-based software tools at TRL 3–4 (target TRL 7), with Docker images hosted at `registry.montimage.eu/tecnalia-tec-/`.",
C3,comparative,service,COLD,3,rag-off,5630,0,,,318,"No relevant services were retrieved from the catalog for Tecnalia. The current context doesn't contain any information about services provided by this organization.

Would you like me to help you search for services from a different provider, or do you have any other questions about the platform's available services?",
C4,comparative,service,RAG,3,service,42091,4,MAG|AI4SOAR|MMT-PROBE|SECANOD,0.738|0.733|0.707|0.703,932,"The Montimage **attack→detect→respond** scenario is composed of three core services (all from Montimage/MTI):

| Service | Role in the scenario |
|---------|----------------------|
| **MAG** (Attack) | Generates HTTP attack traffic against a target service (CLI‑driven, long‑running Deployment). |
| **MMT‑PROBE** (Monitor/Detect) | Sidecar DPI probe that captures pod network traffic, analyzes it, and emits security alerts/reports. |
| **AI4SOAR** (Reaction) | Consumes MMT‑PROBE alerts and executes namespace‑scoped Kubernetes remediation (NetworkPolicy creation, pod deletion, Job scale‑down) via its ServiceAccount. |

A fourth Montimage service, **SECANOD** (Ops Services), provides **AI‑based anomaly detection and prediction** (LLM‑enhanced, explainable) and can feed into the detection/response loop, but it is not explicitly labeled as a module of the core attack→detect→respond scenario in the current repository entries.",
C4,comparative,service,COLD,3,rag-off,12440,0,,,196,"The repository does not contain any information about a ""Montimage attack-detect-respond scenario"" or its constituent services. No relevant services were retrieved from the catalog for this query.",
C5,comparative,service,RAG,3,service,22178,4,MMT-PROBE|SECANOD|HTTP-SIM|SECOPSTWIN,0.746|0.736|0.656|0.641,1625,"**MMT-PROBE vs. secAnoD — Attack Detection Comparison**

| Aspect | MMT-PROBE (Monitor) | secAnoD (Ops Services) |
|--------|---------------------|------------------------|
| **Core approach** | Deep Packet Inspection (DPI) probe on pod network traffic | Explainable LLM-based anomaly detection & prediction |
| **Maturity (TRL)** | Current 7 → Expected 8 (near production) | Current 3 → Expected 7 (early R&D) |
| **Data source** | Live pod packets (requires `NET_ADMIN`/`NET_RAW`, sidecar injection) | Threat-intelligence feeds + monitoring telemetry (RAG-enabled) |
| **Outputs** | DPI alerts & analysis reports (consumed by AI4SOAR) | Explainable detections, mitigation recommendations, autonomous vulnerability mitigation |
| **Operator interaction** | None directly; feeds SOAR | Adaptive GUI for reporting & guidance |
| **Deployment** | Sidecar in target pod (`registry.montimage.eu/montimage-mti/mmt-probe:v1.0.0`) | Standalone service (`registry.montimage.eu/montimage-mti-/secanod:v1.0.0`) |
| **Typical role** | Real-time network-level monitor in attack→detect→respond pipeline | Higher-level prediction & response planning, learns from expert feedback |

**Bottom line**  
- **MMT-PROBE** gives you immediate, packet-level visibility and alerts — ready for operational monitoring today.  
- **secAnoD** aims to add AI-driven prediction, explanation, and automated response, but is still at an early prototype stage.  

If you need production-grade traffic inspection now, choose MMT-PROBE. If you’re exploring future AI-augmented detection/response and can tolerate lower maturity, secAnoD is the research track.",
C5,comparative,service,COLD,3,rag-off,17325,0,,,323,"I don't have information about **MMT-PROBE** or **secAnoD** in the current repository context — no relevant services were retrieved from the catalog.

If you have specific details (e.g., shortName, provider, capabilities) or want me to search the catalog again with different terms, let me know and I can help compare them.",
C6,comparative,service,RAG,3,service,15985,4,SECDEVTWIN|SECOPSTWIN|AST-DEDISRV|PPC-EMOB,0.559|0.534|0.504|0.487,526,"Based on the repository context, two services are explicitly described as digital twins:

1. **SECDEVTWIN** – Assurance-driven Security Development Twin (SecDevTwin)  
   *A specialised, federated digital twin that continuously supports the software development phase…*

2. **SECOPSTWIN** – Assurance-driven Security Operation Twin (SecOpsTwin)  
   *A Digital Twin for continuous security monitoring and management…*

The other two services (AST‑DEDISRV and PPC‑EMOB) are hardware/infrastructure offerings, not digital twins.",
C6,comparative,service,COLD,3,rag-off,21375,0,,,304,"Based on the current repository context, **no relevant services were retrieved from the catalog**, so I cannot identify any services classified as digital twins.

If you have a specific service name, provider, or capability in mind, I can help you look it up — just let me know what you're searching for.",
C7,comparative,service,RAG,3,service,18014,4,PPC-EMOB|SPS-DEVSECOPS|UIH-PROSUMER|PPC-IIOT,0.569|0.561|0.524|0.522,303,"All four services in the repository belong to the **Energy** sector:

1. **PPC-EMOB** – E-mobility Testing Facilities (PPC)
2. **SPS-DEVSECOPS** – DevSecOps Architecture (SPS / Safepay Systems)
3. **UIH-PROSUMER** – Prosumer Cell (UIH / Urban Institute Magyarorszag)
4. **PPC-IIOT** – PPC IIoT Lab (PPC)",
C7,comparative,service,COLD,3,rag-off,14808,0,,,435,"Based on the current repository context, **no services were retrieved for the Energy sector**. The catalog does not contain any services tagged or categorized under ""Energy"" at this time.

Would you like to:
- Explore services from a different sector (e.g., Finance, Healthcare, Manufacturing)?
- Search by a specific capability or keyword instead?
- Check if there are services with energy-related functions under another sector name?",
C8,comparative,service,RAG,3,service,8122,4,AST-DEDISRV|ORO-3GPP16|SAVVY-DEVSRV|PPC-EMOB,0.514|0.510|0.509|0.478,189,"None of the services in the current repository context have a current TRL of 3. All four listed services (AST-DEDISRV, ORO-3GPP16, SAVVY-DEVSRV, PPC-EMOB) show `trl: current=9, expected=9`.",
C8,comparative,service,COLD,3,rag-off,23630,0,,,210,"Based on the current repository context, no services with a current TRL of 3 were retrieved from the catalog. The catalog may not contain services at this TRL level, or the information is currently unavailable.",
