id;category;expected_intent;config;rep;predicted_intent;latency_ms;sources_count;top_source_ids;top_source_scores;answer_length;answer;error;Correctness;Intent_ok;Hallucination;Notes
F1;factual;service;RAG;2;service;6506;4;SECVDR|SECDEVTWIN|SECAISOAR|SECOPSTWIN;0.835|0.684|0.663|0.647;77;The provider of **SECVDR** (Vulnerability Discovery and Repair) is **CERTH**.;;Correct;Yes;No;auto
F1;factual;service;COLD;2;rag-off;8992;0;;;205;The repository context indicates that no relevant services were retrieved from the catalog, so the provider for the Vulnerability Discovery and Repair service (secVDR) is not available in the current data.;;Refused;Yes;No;auto
F2;factual;service;RAG;2;service;9876;4;MMT-PROBE|HTTP-SIM|ORO-3GPP16|AI4SOAR;0.735|0.667|0.592|0.579;64;The current TRL of **MMT-PROBE** is **7** (expected to reach 8).;;Correct;Yes;No;auto
F2;factual;service;COLD;2;rag-off;8354;0;;;259;The repository context does not contain any information about the MMT Traffic Analysis Probe (MMT-PROBE), including its Technology Readiness Level (TRL). This service was not retrieved from the catalog, so its TRL cannot be determined from the available data.;;Refused;Yes;No;auto
F3;factual;service;RAG;2;service;27298;4;MAG|HTTP-SIM|MMT-PROBE|SECANOD;0.804|0.639|0.636|0.617;72;The Montimage Attack Generator (MAG) belongs to the **Attack** category.;;Correct;Yes;No;auto
F3;factual;service;COLD;2;rag-off;8999;0;;;353;"The Montimage Attack Generator (MAG) was not found in the current service catalog. No relevant services were retrieved for this query.

If you have additional details (e.g., provider name, alternative spelling, or related keywords), I can try searching again. Otherwise, you may want to check the full catalog directly or confirm the exact service name.";;Refused;Yes;No;auto
F4;factual;service;RAG;2;service;8338;4;AALTO-LUMI|AALTO-EDGE5G|ITPAERO-CLUSTER|SECSIM;0.796|0.659|0.582|0.567;79;The LUMI Supercomputer (AALTO-LUMI) is a **hardware** service (type: Hardware).;;Correct;Yes;No;auto
F4;factual;service;COLD;2;rag-off;13009;0;;;366;"The LUMI Supercomputer (AALTO-LUMI) does not appear in the current service catalog. I don't have any repository information about this service to determine whether it's classified as software or hardware.

Could you provide more details about the service (e.g., its exact `shortName` or provider) so I can check if it exists under a different name in the repository?";;Refused;Yes;No;auto
F5;factual;service;RAG;2;service;10774;4;CSAM|SECSAC|SECINTERP|SECSIM;0.847|0.666|0.647|0.643;282;"The **CSAM** (Compliance and Security Assurance Model) supports the following standards and regulations:

- ISO/IEC 15408  
- EUCC  
- EN 17927  
- EN 17640  
- Cyber Security Act  
- Cyber Resilience Act  
- AI Act  

These are explicitly listed in the service’s `standards` field.";;Correct;Yes;No;auto
F5;factual;service;COLD;2;rag-off;31870;0;;;364;"I don't have any information about a ""Compliance and Security Assurance Model (CSAM)"" in the current repository catalog — no services matching that name or description were retrieved.

If you're referring to a specific service in the platform, could you provide its **shortName** or any other identifier? That would help me look up the exact standards it supports.";;Refused;Yes;No;auto
