id;category;expected_intent;config;rep;predicted_intent;latency_ms;sources_count;top_source_ids;top_source_scores;answer_length;answer;Correctness;Intent_ok;Hallucination;Notes
F1;factual;service;RAG;1;service;37331;4;MONT-MMT|MONT-NFZ|MON-01|MON-02;0.704|0.632|0.618|0.603;66;The Montimage Monitoring Tool (MONT-MMT) uses the **MIT License**.;Correct;Yes;No;
F1;factual;service;COLD;1;rag-off;21512;0;;;224;The license information for the Montimage Monitoring Tool is not available in the current repository context. Please consult the official documentation or contact the service provider directly for details on licensing terms.;Refused;Yes;No;
F2;factual;service;RAG;1;service;37595;4;K3Y-K3CR|K3Y-TRUSTEE|CORE-02|SEC-01;0.685|0.570|0.555|0.549;54;The provider of K3CyberRadar (K3CR) Probes is **K3Y**.;Correct;Yes;No;
F2;factual;service;COLD;1;rag-off;26070;0;;;221;The provider of K3CyberRadar is not listed in the repository context retrieved for this query. No relevant information about this service was found in the catalog. Let me know if you'd like assistance with other services!;Refused;Yes;No;
F3;factual;service;RAG;1;service;55880;4;TUC-NIDS|BEYOND-DD|TOOL-02|THALES-CR;0.713|0.598|0.596|0.596;94;The current Technology Readiness Level (TRL) of the **TUC-NIDS** (FPGA-NIDS) service is **5**.;Correct;Yes;No;
F3;factual;service;COLD;1;rag-off;36775;0;;;238;The repository context indicates that no relevant services were retrieved, including the FPGA-NIDS service. Therefore, the current Technology Readiness Level (TRL) for the FPGA-NIDS service is **unavailable** in the provided catalog data.;Refused;Yes;No;
F4;factual;service;RAG;1;service;40796;4;SIEMENS-ROSCO|SEC-03|SBA-SPLIT|SBA-CAST;0.866|0.614|0.605|0.585;99;The Runtime Security Pipeline (ROSCO-eBPF) belongs to the **Automated Threat Inspection** category.;Correct;Yes;No;
F4;factual;service;COLD;1;rag-off;56207;0;;;283;The repository context indicates that no relevant services were retrieved, which means there is no available information in the catalog about the Runtime Security Pipeline (ROSCO-eBPF) or its categorization. Please consult the platform's documentation or support for further details.;Refused;Yes;No;
F5;factual;service;RAG;1;service;43045;4;BEYOND-DD|BEYOND-HSM|RAN-02|SIEMENS-PAC;0.806|0.625|0.567|0.563;175;"The Data Diode (BEYOND-DD) is a **hardware** service. Its description explicitly states it is ""Hardware-based,"" and its type is listed as ""Hardware"" in the repository context.";Correct;Yes;No;
F5;factual;service;COLD;1;rag-off;37513;0;;;177;"The repository context does not contain information about the ""Data Diode (BEYOND-DD)"" service. Please provide additional details or check the catalog for further clarification.";Refused;Yes;No;
F6;factual;service;RAG;1;service;36547;4;BEYOND-HSM|BEYOND-DD|HE-02|MON-02;0.772|0.594|0.592|0.558;76;BEYOND-HSM supports the following standards: **PKCS#11** and **FIPS 140-2**.;Correct;Yes;No;
F6;factual;service;COLD;1;rag-off;34250;0;;;236;The repository context does not contain information about BEYOND-HSM or its supported standards. For details on this service, please consult the MI Digital Twin Management Platform's official documentation or contact their support team.;Refused;Yes;No;
F7;factual;service;RAG;1;service;33871;4;MONT-MMT|MONT-NFZ|TEST-03|TEST-04;0.606|0.552|0.523|0.514;95;MONT-MMT takes **Network Traffic** as input, specifically **live or captured network traffic**.;Correct;Yes;No;
F7;factual;service;COLD;1;rag-off;76579;0;;;292;The repository context indicates that no relevant services were retrieved, including details about MONT-MMT. Therefore, specific input requirements for MONT-MMT are not available in the current catalog. For further assistance, please refine your query or consult the platform's documentation.;Refused;Yes;No;
F8;factual;service;RAG;1;service;35752;4;SIEMENS-LLM|ULANCS-PTI|TEST-02|SIEMENS-ROSCO;0.871|0.623|0.618|0.616;267;"The SIEMENS-LLM Threat Modelling Tool produces the following outputs:  
- **Threat Model**  
- **Identified threats and mitigations**  

These outputs are derived from inputs like system descriptions and architecture documents, as specified in the repository context.";Correct;Yes;No;
