id,category,expected_intent,config,rep,predicted_intent,latency_ms,sources_count,top_source_ids,top_source_scores,answer_length,answer,error
T1,tool-selection,service,RAG,2,service,2993,4,MMT-PROBE|AI4SOAR|CI-SIM|MAG,0.740|0.687|0.684|0.673,201,"Deploy **MMT-PROBE** (shortName: `MMT-PROBE`). It runs as a sidecar sharing your target pod’s network namespace, performs deep packet inspection on the pod’s traffic, and emits security alerts/reports.",
T2,tool-selection,service,RAG,2,service,3735,4,AI4SOAR|CI-SIM|MMT-PROBE|MAG,0.625|0.620|0.618|0.591,206,"**AI4SOAR** (shortName: `AI4SOAR`) — it ingests alerts from MMT-PROBE and executes namespace-scoped Kubernetes playbooks, including creating NetworkPolicies that cut off the attacker’s pod from the network.",
T3,tool-selection,service,RAG,2,service,3868,4,SECVDR|SECDEVTWIN|SECINTERP|SECASSURE4AI,0.747|0.576|0.575|0.569,799,"Use **SECVDR** (Vulnerability Discovery and Repair) — it’s built exactly for this purpose.

- **What it does**: Scans your source code and configuration files, detects vulnerabilities across many programming languages, and proposes automated fixes using fine‑tuned ML/GenAI models.
- **Inputs**: Source & Configuration Code (your code and config files)
- **Outputs**: Vulnerability Fixes (detected issues with suggested repairs)
- **Provider**: CERTH
- **Category**: Dev Services
- **Docker image**: `registry.montimage.eu/certh/secvdr:v1.0.0`
- **Current TRL**: 5 (target 7)

The other services in the repository address different needs (digital‑twin for development, standard interpretation, AI/ML assurance), so SECVDR is the right choice for code‑level vulnerability scanning and fix generation.",
T4,tool-selection,service,RAG,2,service,3735,4,SECINTERP|CSAM|SECNCD|SECSAC,0.697|0.615|0.591|0.580,240,"**SECINTERP** (shortName: `SECINTERP`) is designed for this.

Its **Level 1 – Cybersecurity Standard Mapping Assistant** explicitly “advises non‑cybersecurity experts on relevant norms and standards based on their role and industry sector.”",
T5,tool-selection,service,RAG,2,service,8404,4,SECASSURE4AI|SECATTSIM|SECANOD|AI4SOAR,0.629|0.616|0.587|0.562,1632,"To test your ML component's resistance to adversarial attacks, you can use two complementary services from the repository:

**1. SECASSURE4AI (Security Assurance Service for AI Components)**
- **Purpose**: Holistic security assurance including **robustness** testing against adversarial attacks
- **How it works**: Integrates and automates tests with AML (Adversarial Machine Learning) tools; produces an **AI Assurance Report** covering security, explainability, fairness, and robustness
- **Coverage**: ""≥50% of AI/ML relevant attacks tested automatically for at least 2 use cases""
- **Input**: Your AI/ML models and components under assessment
- **Docker**: `registry.montimage.eu/tecnalia-tec-/secassure4ai:v1.0.0`

**2. SECATTSIM (Attack and Incident Simulator)**
- **Purpose**: Generates **white-box and black-box adversarial AI attacks** to simulate real attack scenarios
- **How it works**: Uses reinforcement learning-guided and LLM-generated attack controls for emerging AI-era scenarios; operates in parallel with your IoT-edge-cloud system
- **Accuracy**: ""≥80% accuracy of attack/anomaly detection""
- **Input**: Operation scenario definitions (IoT-edge-cloud system + scenario)
- **Docker**: `registry.montimage.eu/tecnalia-tec-/secattsim:v1.0.0`

**Suggested workflow**:  
1. Use **SECASSURE4AI** for automated robustness benchmarking and an assurance report.  
2. Use **SECATTSIM** to simulate custom, scenario-specific adversarial attacks against your deployed component.

Both are provided by **Tecnalia (TEC)**, category **Dev Services** (SECASSURE4AI) and **Ops Services** (SECATTSIM), current TRL 4 (expected 7).",
T6,tool-selection,service,RAG,2,service,6251,4,SECNCD|SECDEVTWIN|SECOPSTWIN|SECSAC,0.713|0.612|0.599|0.595,296,"**SECNCD** (AI-based Non-Compliance Detector) is the tool designed for this. It “identifies regulatory and security gaps at design time (and even at runtime)” and takes system/compliance requirements plus design-time artefacts as input, producing a Non-Compliance Report with recommended changes.",
B1,ambiguity,service,RAG,2,service,7712,4,MMT-PROBE|HTTP-SIM|MAG|AI4SOAR,0.673|0.614|0.527|0.524,1187,"**MMT-PROBE** (shortName: **MMT-PROBE**) — Montimage Monitoring Tool (MMT) Traffic Analysis Probe  

- **Provider:** Montimage (MTI)  
- **Category:** Monitor  
- **Type:** Software (containerized)  
- **UI:** Web  
- **TRL:** Current 7 → Expected 8  
- **License:** TBD  

**What it does**  
A deep-packet-inspection (DPI) probe that runs as a sidecar in the target pod’s network namespace (requires `NET_ADMIN` + `NET_RAW`). It captures pod network traffic, performs protocol analysis, and emits security alerts/reports consumed by AI4SOAR for automated response.

**Configuration**  
- Via `mmt-probe.conf` (libconfig format) or the `HOST_INTERFACE` environment variable / `-i` CLI argument to select the monitored interface.

**Inputs**  
- Pod network traffic (packets on the target pod interface)

**Outputs**  
- DPI alerts & reports (security output-channel alerts and analysis reports)

**Typical use case**  
Monitor module in the Montimage **attack → detect → respond** scenario (works with MAG as attacker, HTTP-SIM as target, and AI4SOAR for reaction).

**Docker image**  
`registry.montimage.eu/montimage-mti/mmt-probe:v1.0.0` (publicly also referenced as `montimage/mmt`).",
B2,ambiguity,service,RAG,2,service,6760,4,AI4SOAR|SECANOD|ITPAERO-CLUSTER|SECSAC,0.524|0.518|0.479|0.473,878,"The catalog includes **AI4SOAR** (shortName: **AI4SOAR**), an AI-driven Security Orchestration and Response platform from **Montimage (MTI)**.

**What it does:**
- Ingests security alerts from **MMT-Probe** (detection alerts)
- Executes **namespace-scoped Kubernetes playbook responses** such as:
  - Creating NetworkPolicies
  - Deleting pods
  - Scaling down Jobs
- Operates via a **ServiceAccount** with appropriate Kubernetes permissions
- Exposes its API and web UI on port **5000**

**Key details:**
- **Type:** Software (Shuffle-based SOAR stack)
- **Category:** Reaction
- **TRL:** Current 5 → Expected 8
- **License:** TBD
- **Docker image:** `registry.montimage.eu/montimage-mti/ai4soar:v1.0.0`
- **Use case:** Reaction module in Montimage’s attack → detect → respond scenario

In short, it automates Kubernetes-level remediation actions triggered by MMT-Probe alerts.",
B3,ambiguity,service,RAG,2,service,5902,4,HTTP-SIM|CI-SIM|SECSIM|SECATTSIM,0.558|0.548|0.536|0.525,1554,"There are **four simulators** in the repository. Which one are you interested in?

| Short Name | Title | Provider | Category | Key Purpose |
|------------|-------|----------|----------|-------------|
| **HTTP-SIM** | Simulated HTTP Server | Montimage (MTI) | Target | Simple HTTP victim workload (`GET /` → 200) for attack→detect→respond scenarios; MMT-Probe sidecar observes traffic. |
| **CI-SIM** | Critical Infrastructure Simulation | Montimage (MTI) | Target | HTTP service with health/metrics API + admin blocklist (`/admin/block`, `/admin/unblock`); auto-stops under sustained attack rate, Kubernetes restarts it. |
| **SECSIM** | Assurance-driven Simulator (secSIM) | Montimage (MTI) | Dev Services | Proactive/predictive security impact analysis for architecture changes; covers architecture, functional, non-functional layers; includes SOAR & zero-trust simulation. |
| **SECATTSIM** | Attack and Incident Simulator (secAttSIM) | Tecnalia (TEC) | Ops Services | White-box/black-box adversarial AI attack simulation (RL-guided, LLM-generated) for IoT-edge-cloud systems; targets ≥80% detection accuracy. |

**Quick pointers:**
- For a **basic HTTP target** in a demo: **HTTP-SIM**
- For an **interactive attack→detect→respond target** with blocklist & auto-restart: **CI-SIM**
- For **design-phase security impact prediction** across system layers: **SECSIM**
- For **AI-era attack simulation** in operational IoT-edge-cloud environments: **SECATTSIM**

Let me know which one you’d like details on (deployment, inputs/outputs, use cases, etc.).",
N1,constraint,service,RAG,2,service,3394,4,SECAISOAR|SECANOD|MAG|PPC-EMOB,0.518|0.517|0.504|0.495,343,"Based on the repository context, Montimage (MTI) provides three services:

- **SECAISOAR** – category: **Ops Services**
- **SECANOD** – category: **Ops Services**
- **MAG** – category: **Attack**

The only Montimage service **not** in the Ops Services category is **MAG** (Montimage Attack Generator), which belongs to the **Attack** category.",
N2,constraint,service,RAG,2,service,2990,4,AST-DEDISRV|ORO-3GPP16|SAVVY-DEVSRV|PPC-EMOB,0.534|0.526|0.519|0.511,344,"Based on the current repository context, there are **no Tecnalia services** listed. The four services available are from providers AST, ORO (Orange Romania), SAVVY, and PPC — all with a current TRL of 9.

If you have a broader repository or additional context that includes Tecnalia services, please provide it and I can check their TRL values.",
N3,constraint,service,RAG,2,service,14631,4,SECANOD|SECAISOAR|SECASSURE4AI|AI4SOAR,0.636|0.633|0.627|0.623,830,"Based on the provided repository context, **all four services listed are software-only web tools** (each has `type: Software` and `uiType: web`).  

- **SECANOD** – AI-based Attack/Anomaly Detection  
- **SECAISOAR** – AI-driven Security Control Orchestration  
- **SECASSURE4AI** – Security Assurance Service for AI Components  
- **AI4SOAR** – AI-driven Security Orchestration and Response (explicitly noted as the “Reaction module in the Montimage attack→detect→respond scenario”)  

Since every service in this context is a software-only web tool, **there are no services in the attack‑detect‑respond scenario that are not software-only web tools** — at least among the services captured in this repository snapshot.  

*(If the scenario includes additional services not shown here, they would need to be checked separately.)*",
H1,multi-hop,service,RAG,2,service,9334,4,AST-DEDISRV|SAVVY-DEVSRV|SPS-DEVSECOPS|SECVDR,0.627|0.606|0.591|0.552,378,"Based on the current repository context, **CERTH** has the most services in the **Dev Services** category with **1 service**:

- **SECVDR** (Vulnerability Discovery and Repair) — shortName: `SECVDR`

No other providers in the retrieved context have services categorized under ""Dev Services"". The other listed services fall under ""Data Center & Hosting"" or ""DevSecOps Platforms"".",
H2,multi-hop,service,RAG,2,service,20954,4,MMT-PROBE|MAG|HTTP-SIM|ORO-3GPP16,0.545|0.518|0.507|0.500,224,"Among the Montimage services in the repository, **MAG** (Montimage Attack Generator) and **HTTP-SIM** (Simulated HTTP Server) both have the lowest current TRL of **6** (expected 8). 

MMT-PROBE has a higher current TRL of 7.",
H3,multi-hop,service,RAG,2,service,53927,4,ORO-3GPP16|ORO-5GLAB|AST-DEDISRV|AALTO-EDGE5G,0.648|0.641|0.627|0.624,968,"Based on the repository context provided, only **UC1** is explicitly mentioned as a supported use case. Here's what the context shows:

| Use Case | Supporting Partner Infrastructure (shortName) |
|----------|-----------------------------------------------|
| **UC1 – Telecom Software Development Life Cycle** | • **ORO-3GPP16** (Orange Romania – 3GPP Rel 16 Commercial Facility)  <br>• **ORO-5GLAB** (Orange Romania – Orange 5G Lab) |
| **UC2** | Not mentioned in the provided context |
| **UC3** | Not mentioned in the provided context |
| **UC4** | Not mentioned in the provided context |
| **UC5** | Not mentioned in the provided context |

**Note:** The other listed services reference different use-case labels:
- **AST-DEDISRV** → “Cross-cutting infrastructure support”
- **AALTO-EDGE5G** → “Research infrastructure support”

If you need details on UC2–UC5, please provide additional repository data or clarify which services/use-case mappings you have in mind.",
