id;category;expected_intent;config;rep;predicted_intent;latency_ms;sources_count;top_source_ids;top_source_scores;answer_length;answer;error;Correctness;Hallucination;ConfigErrors;Notes
T1;tool-selection;service;RAG;3;service;23600;4;MMT-PROBE|AI4SOAR|CI-SIM|MAG;0.740|0.687|0.684|0.673;493;"To monitor traffic reaching your HTTP target pod and raise security alerts, deploy **MMT-PROBE** (`MMT-PROBE`). 

This tool injects as a sidecar into the target pod, analyzes network traffic, and emits **DPI alerts/reports** via its `HOST_INTERFACE` configuration. It requires `NET_ADMIN` and `NET_RAW` permissions to operate. 

For automated response to these alerts, you could pair it with **AI4SOAR** (`AI4SOAR`), which consumes MMT-PROBE alerts and triggers Kubernetes remediation actions.";;Correct;No;;recommends MMT-PROBE
T2;tool-selection;service;RAG;3;service;16538;4;AI4SOAR|CI-SIM|MMT-PROBE|MAG;0.625|0.620|0.618|0.591;243;The service that automatically isolates an attacker's pod by creating Kubernetes NetworkPolicies is **AI4SOAR** (shortName: AI4SOAR). It consumes alerts from MMT-PROBE and applies namespace-scoped remediation actions like network segmentation.;;Correct;No;;recommends AI4SOAR
T3;tool-selection;service;RAG;3;service;19478;4;SECVDR|SECDEVTWIN|SECINTERP|SECASSURE4AI;0.747|0.576|0.575|0.569;502;"For scanning source code and configuration files for vulnerabilities with automated fixes, use **SECVDR** (shortName: SECVDR).  

- **Provider**: CERTH  
- **Inputs**: Your software's source code and configuration files  
- **Outputs**: Detected vulnerabilities with automated fix suggestions  
- **Key Feature**: Uses fine-tuned CodeBERT and ML/GenAI for accurate detection and repair (50% of vulnerabilities fixed with minimal human intervention).  

This service directly addresses your requirement.";;Correct;No;;recommends SECVDR
T4;tool-selection;service;RAG;3;service;19130;4;SECINTERP|CSAM|SECNCD|SECSAC;0.697|0.615|0.591|0.580;586;"The SECINTERP service (shortName: SECINTERP) is designed for non-cybersecurity experts. Its **Level 1 (Cybersecurity Standard Mapping Assistant)** advises users on relevant cybersecurity standards and norms based on their role and industry sector. This aligns with your need to identify applicable standards without prior expertise. 

Other services like CSAM, SECNCD, and SECSAC focus on compliance checking, gap detection, or assurance case creation, which are better suited for developers or security experts. 

**Recommendation:** Use SECINTERP to map standards to your role/sector.";;Correct;No;;recommends SECINTERP
T5;tool-selection;service;RAG;3;service;23966;4;SECASSURE4AI|SECATTSIM|SECANOD|AI4SOAR;0.629|0.616|0.587|0.562;660;"To test your machine-learning component against adversarial attacks, use **SECATTSIM** (secAttSIM). This service provides tools for simulating both white-box and black-box adversarial AI attacks across operation scenarios. It supports testing resilience by generating attack simulations that mimic emerging AI-era threats. 

**Inputs required**: Define your operation scenario and specify the IoT-edge-cloud system under test.  
**Outputs**: Simulated adversarial attacks and incident data, which will help assess your component's robustness.  

This approach aligns with the service's potential use case of achieving ≥80% accuracy in attack/anomaly detection.";;Partial;No;;valid alternative only
T6;tool-selection;service;RAG;3;service;32743;4;SECNCD|SECDEVTWIN|SECOPSTWIN|SECSAC;0.713|0.612|0.599|0.595;660;"The tool that fits your need for detecting design-time regulatory gaps is **SECNCD** (AI-based Non-Compliance Detector).  

**Why?**  
- It identifies **regulatory and security gaps at design time** (and runtime).  
- Inputs: System/compliance requirements + design-time artefacts.  
- Outputs: Non-compliance reports and recommended changes.  
- Use case: **≥25% reduction in time/effort** to detect and repair vulnerabilities at design time.  

Other tools like **SECDEVTWIN** (focuses on software component vulnerabilities during development) or **SECSAC** (assurance case documentation) are less aligned with your design-time regulatory gap detection goal.";;Correct;No;;recommends SECNCD
B1;ambiguity;service;RAG;3;service;44954;4;MMT-PROBE|HTTP-SIM|MAG|AI4SOAR;0.673|0.614|0.527|0.524;1072;"The MMT tool referenced in the repository is **MMT-PROBE** (shortName: `MMT-PROBE`), a **traffic analysis probe** developed by Montimage (MTI). Here are its key details:

- **Purpose**: Monitors pod network traffic using DPI (Deep Packet Inspection) to detect security threats, emitting alerts/reports for consumption by **AI4SOAR**.
- **Deployment**: Injected as a sidecar container sharing the target pod's network namespace. Requires `NET_ADMIN` and `NET_RAW` permissions.
- **Configuration**: Controlled via `mmt-probe.conf` (libconfig) or the `HOST_INTERFACE` environment variable.
- **Inputs**: Captures packets on the target pod interface (e.g., via `-i` argument).
- **Outputs**: Security alerts and analysis reports (consumed by AI4SOAR for orchestration).
- **Use Case**: Part of Montimage's **attack→detect→respond** scenario, acting as the **monitor** module.
- **Docker Image**: `registry.montimage.eu/montimage-mti/mmt-probe:v1.0.0`.

It works alongside **HTTP-SIM** (target module) and **MAG** (attack module), with **AI4SOAR** handling automated responses.";;Partial;No;;1 candidates named
B2;ambiguity;service;RAG;3;service;25037;4;AI4SOAR|SECANOD|ITPAERO-CLUSTER|SECSAC;0.524|0.518|0.479|0.473;432;The SOAR in the catalog refers to **AI4SOAR** (shortName: AI4SOAR), which is an **AI-driven Security Orchestration and Response** tool. It ingests security alerts from **MMT-Probe** and automatically applies **namespace-scoped Kubernetes remediation actions** (e.g., creating NetworkPolicies, deleting pods, scaling down Jobs) via its ServiceAccount. It acts as the **Reaction module** in Montimage’s attack→detect→respond workflow.;;Partial;No;;1 candidates named
B3;ambiguity;service;RAG;3;service;15294;4;HTTP-SIM|CI-SIM|SECSIM|SECATTSIM;0.558|0.548|0.536|0.525;222;Your query is too general — there are multiple simulators in the repository. Please specify which simulator you're interested in (e.g., HTTP-SIM, CI-SIM, SECSIM, or SECATTSIM). Each has distinct capabilities and use cases.;;Correct;No;;4 candidates named
N1;constraint;service;RAG;3;service;20585;4;SECAISOAR|SECANOD|MAG|PPC-EMOB;0.518|0.517|0.504|0.495;200;"The Montimage service not in the Ops Services category is:  
- **MAG** (shortName: MAG, category: Attack).  

Other Montimage services listed (SECAISOAR, SECANOD) fall under the Ops Services category.";;Partial;No;;lists only MAG, implied exhaustive (retrieval-bound)
N2;constraint;service;RAG;3;service;31011;4;AST-DEDISRV|ORO-3GPP16|SAVVY-DEVSRV|PPC-EMOB;0.534|0.526|0.519|0.511;340;"None of the services listed in the provided repository context have a current TRL below 4. All services (AST-DEDISRV, ORO-3GPP16, SAVVY-DEVSRV, PPC-EMOB) have a **current TRL of 9**, indicating they are fully operational. Additionally, no service in the context is provided by ""Tecnalia"" — the listed providers are AST, ORO, SAVVY, and PPC.";;Incorrect;No;;retrieval miss: no Tecnalia services retrieved, misses SECSAC
N3;constraint;service;RAG;3;service;34901;4;SECANOD|SECAISOAR|SECASSURE4AI|AI4SOAR;0.636|0.633|0.627|0.623;539;"All services in the attack-detect-respond scenario listed in the repository context are **software-only web tools**. None of them are explicitly described as non-web or non-software tools. 

- **SECANOD** (detect): Software, web UI.  
- **SECAISOAR** (respond): Software, web UI.  
- **AI4SOAR** (respond): Software, web UI.  

**SECASSURE4AI** (Dev Services) is not part of the attack-detect-respond scenario but is also a web-based software tool.  

No services in the provided context fall outside the ""software-only web tool"" category.";;Incorrect;Yes;;"treats retrieved SECANOD/SECAISOAR/SECASSURE4AI as scenario members; misses MAG terminal"
H1;multi-hop;service;RAG;3;service;17936;4;AST-DEDISRV|SAVVY-DEVSRV|SPS-DEVSECOPS|SECVDR;0.627|0.606|0.591|0.552;181;"The provider with the most services in the **Dev Services** category is **CERTH** (provider of **SECVDR**). No other services in the repository are categorized under ""Dev Services.""";;Incorrect;No;;"says CERTH (1 service); true answer Tecnalia (3) - beyond k"
H2;multi-hop;service;RAG;3;service;24033;4;MMT-PROBE|MAG|HTTP-SIM|ORO-3GPP16;0.545|0.518|0.507|0.500;213;"The Montimage services with the lowest current TRL (6) are:  
- **MAG** (Montimage Attack Generator)  
- **HTTP-SIM** (Simulated HTTP Server)  

Both have a current TRL of 6, which is lower than MMT-PROBE (TRL 7).";;Incorrect;No;;"says MAG/HTTP-SIM TRL 6; true SECANOD TRL 3 - beyond k"
