id;category;expected_intent;config;rep;predicted_intent;latency_ms;sources_count;top_source_ids;top_source_scores;answer_length;answer;error;Correctness;Hallucination;ConfigErrors;Notes
T1;tool-selection;service;RAG;1;service;5905;4;MMT-PROBE|AI4SOAR|CI-SIM|MAG;0.740|0.687|0.684|0.673;765;"Deploy **MMT-PROBE** (shortName: `MMT-PROBE`) — it’s a DPI probe that runs as a sidecar in the same pod network namespace as your HTTP target, inspects all traffic, and emits security alerts/reports (consumed by AI4SOAR).  

Key points:
- **Provider**: Montimage (MTI) | **Category**: Monitor  
- **Deployment**: Sidecar container sharing the target pod’s netns (requires `NET_ADMIN` and `NET_RAW` capabilities)  
- **Configuration**: Via `mmt-probe.conf` (libconfig) or `HOST_INTERFACE` environment variable  
- **Outputs**: DPI alerts & reports (security output-channel alerts and analysis reports)  
- **Image**: `registry.montimage.eu/montimage-mti/mmt-probe:v1.0.0`  

This is the dedicated monitoring component in the Montimage attack→detect→respond scenario.";;Correct;No;;recommends MMT-PROBE
T2;tool-selection;service;RAG;1;service;8208;4;AI4SOAR|CI-SIM|MMT-PROBE|MAG;0.625|0.620|0.618|0.591;271;"**AI4SOAR** (shortName: `AI4SOAR`) — the Reaction‑category SOAR service.  

It ingests alerts from MMT‑Probe and executes namespace‑scoped Kubernetes playbooks, including **NetworkPolicy creation** to cut off the attacker’s pod, as well as pod deletion or job scale‑down.";;Correct;No;;recommends AI4SOAR
T3;tool-selection;service;RAG;1;service;8657;4;SECVDR|SECDEVTWIN|SECINTERP|SECASSURE4AI;0.747|0.576|0.575|0.569;768;"Use **SECVDR** (shortName: `SECVDR`) — the Vulnerability Discovery and Repair service from CERTH.

- **What it does**: Scans your source code and configuration files, detects vulnerabilities across many programming languages, and proposes automated fixes using fine‑tuned CodeBERT and GenAI models.
- **Inputs**: Source & Configuration Code (your code and config files)
- **Outputs**: Vulnerability Fixes (detected issues with suggested repairs)
- **Potential**: ~50 % of vulnerabilities repaired with minimal human intervention
- **Docker image**: `registry.montimage.eu/certh/secvdr:v1.0.0`
- **Current TRL**: 5 (target 7)

This is the only service in the repository that directly provides vulnerability scanning **and** fix generation for source/configuration code.";;Correct;No;;recommends SECVDR
T4;tool-selection;service;RAG;1;service;11698;4;SECINTERP|CSAM|SECNCD|SECSAC;0.697|0.615|0.591|0.580;533;"**SECINTERP** (shortName: `SECINTERP`) is the service designed for this.

Its **Level 1 – Cybersecurity Standard Mapping Assistant** explicitly “advises non‑cybersecurity experts on relevant norms and standards based on their role and industry sector.” It takes regulatory corpus and standards texts as input and outputs interpreted, role‑tailored cybersecurity requirements.

*Provider:* Tecnalia (TEC)  
*Category:* Dev Services  
*Current TRL:* 4 (target 7)  
*Docker image:* `registry.montimage.eu/tecnalia-tec-/secinterp:v1.0.0`";;Correct;No;;recommends SECINTERP
T5;tool-selection;service;RAG;1;service;11757;4;SECASSURE4AI|SECATTSIM|SECANOD|AI4SOAR;0.629|0.616|0.587|0.562;1455;"To test your ML component's resistance to adversarial attacks, you can use two services from the repository:

**Primary testing service:**
- **SECASSURE4AI** (Security Assurance Service for AI Components) — Automates security/robustness tests using AML (Adversarial Machine Learning) tools and produces an **AI Assurance Report** covering security, explainability, fairness, and robustness. It targets “≥50% of AI/ML relevant attacks tested automatically for at least 2 use cases.”  
  - Input: your AI/ML model or component  
  - Output: assurance report with test results  
  - Docker: `registry.montimage.eu/tecnalia-tec-/secassure4ai:v1.0.0`

**Complementary attack simulation:**
- **SECATTSIM** (Attack and Incident Simulator) — Generates white‑box and black‑box adversarial AI attacks (including reinforcement‑learning‑guided and LLM‑generated attacks) against your operational scenario.  
  - Input: IoT/edge/cloud system and scenario definitions  
  - Output: simulated adversarial attack traces  
  - Docker: `registry.montimage.eu/tecnalia-tec-/secattsim:v1.0.0`

**Suggested workflow:**  
1. Package your ML component as input for **SECASSURE4AI** to run automated AML test suites and get a robustness report.  
2. Use **SECATTSIM** to simulate additional, scenario‑specific adversarial attacks (e.g., edge‑deployment conditions) and verify detection/mitigation.

Both services are at TRL 4 (targeting TRL 7) and are provided by Tecnalia (TEC).";;Correct;No;;recommends SECASSURE4AI
T6;tool-selection;service;RAG;1;service;3162;4;SECNCD|SECDEVTWIN|SECOPSTWIN|SECSAC;0.713|0.612|0.599|0.595;191;**SECNCD** (AI-based Non-Compliance Detector) — it “identifies regulatory and security gaps at design time (and even at runtime)” and outputs a Non‑Compliance Report with recommended changes.;;Correct;No;;recommends SECNCD
B1;ambiguity;service;RAG;1;service;5296;4;MMT-PROBE|HTTP-SIM|MAG|AI4SOAR;0.673|0.614|0.527|0.524;904;"**MMT-PROBE** (shortName: **MMT-PROBE**) — Montimage Monitoring Tool DPI probe.

- **Provider:** Montimage (MTI)  
- **Category:** Monitor  
- **Type:** Software (web UI)  
- **TRL:** current 7 → expected 8  
- **License:** TBD  

**What it does**  
Runs as a sidecar sharing the target pod’s network namespace (requires `NET_ADMIN` and `NET_RAW`). It captures pod network traffic (packets on the target interface, configured via `mmt-probe.conf` or `HOST_INTERFACE` env) and performs deep packet inspection, emitting security alerts and analysis reports consumed by AI4SOAR.

**Inputs**  
- Pod Network Traffic | Packets on the target pod interface

**Outputs**  
- DPI Alerts & Reports | Security output-channel alerts and analysis reports

**Typical use case**  
Monitor module in the Montimage attack→detect→respond scenario.

**Docker image**  
`registry.montimage.eu/montimage-mti/mmt-probe:v1.0.0`";;Partial;No;;1 candidates named
B2;ambiguity;service;RAG;1;service;5528;4;AI4SOAR|SECANOD|ITPAERO-CLUSTER|SECSAC;0.524|0.518|0.479|0.473;818;"The catalog includes **AI4SOAR** (shortName: **AI4SOAR**), an AI-driven Security Orchestration and Response platform from Montimage (MTI).

**What it does:**
- Ingests security alerts from MMT-Probe
- Executes namespace-scoped Kubernetes playbook responses:
  - Creates NetworkPolicies
  - Deletes pods
  - Scales down Jobs
- Exposes a web UI/API on port 5000
- Runs as a Shuffle-based SOAR stack via its ServiceAccount

**Key details:**
- **Category:** Reaction
- **Type:** Software (web UI)
- **TRL:** Current 5 → Expected 8
- **License:** TBD
- **Docker image:** `registry.montimage.eu/montimage-mti/ai4soar:v1.0.0`
- **Use case:** Reaction module in Montimage’s attack→detect→respond scenario

It takes **Security Alerts** as input and produces **Orchestrated Response** actions (Kubernetes remediation) as output.";;Partial;No;;1 candidates named
B3;ambiguity;service;RAG;1;service;11103;4;HTTP-SIM|CI-SIM|SECSIM|SECATTSIM;0.558|0.548|0.536|0.525;1054;"There are **four simulators** in the repository. Which one are you interested in?

| shortName | Title | Category | Provider | Key Focus |
|-----------|-------|----------|----------|-----------|
| **HTTP-SIM** | Simulated HTTP Server | Target | Montimage (MTI) | Simple HTTP victim workload (`GET /` → 200) for attack→detect→respond scenarios |
| **CI-SIM** | Critical Infrastructure Simulation | Target | Montimage (MTI) | HTTP service with admin API (`/admin/block`, `/admin/unblock`) and rate‑limit self‑stop/restart |
| **SECSIM** | Assurance-driven Simulator (secSIM) | Dev Services | Montimage (MTI) | Proactive/predictive security impact analysis across architecture, functional & non‑functional layers |
| **SECATTSIM** | Attack and Incident Simulator (secAttSIM) | Ops Services | Tecnalia (TEC) | White‑box/black‑box adversarial AI attacks, RL‑guided & LLM‑generated attack controls for IoT‑edge‑cloud |

Let me know the **shortName** (or a keyword like “critical infrastructure”, “assurance”, “attack simulation”) and I’ll give you the details.";;Correct;No;;4 candidates named, asks
N1;constraint;service;RAG;1;service;10238;4;SECAISOAR|SECANOD|MAG|PPC-EMOB;0.518|0.517|0.504|0.495;343;"Based on the repository context, Montimage (MTI) provides three services:

- **SECAISOAR** – category: **Ops Services**
- **SECANOD** – category: **Ops Services**
- **MAG** – category: **Attack**

The only Montimage service **not** in the Ops Services category is **MAG** (Montimage Attack Generator), which belongs to the **Attack** category.";;Partial;No;;lists only MAG, implied exhaustive (retrieval-bound)
